mean_fit_time,std_fit_time,param_metric,param_n_neighbors,param_weights,train_TP,train_TN,train_FP,train_FN,test_TP,test_TN,test_FP,test_FN,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,rank_train_score,mean_test_accuracy,mean_train_accuracy
0.0021531105041503905,0.0005953480615391272,manhattan,2,uniform,2,3204,0,16,0,801,0,5,0.9914738485110475,0.00198703999749578,37,0.9929529106975613,0.0007957104002411435,32,0.9914738485110475,0.9929529106975613
0.003304719924926758,0.0036123076819216445,manhattan,2,distance,18,3204,0,0,0,796,5,5,0.989660948832628,0.0031912735214587678,46,1.0,0.0,1,0.989660948832628,1.0
0.0024041175842285157,0.0007990402687790115,manhattan,3,uniform,3,3203,1,15,0,801,0,5,0.9914738485110475,0.00198703999749578,37,0.9932932741310754,0.0006806382195852213,31,0.9914738485110475,0.9932932741310754
0.0022009849548339845,0.0003324298419749579,manhattan,3,distance,18,3204,0,0,0,800,1,5,0.9911623212754634,0.0015525582577756757,44,1.0,0.0,1,0.9911623212754634,1.0
0.0023082733154296876,0.0005074585207036958,manhattan,4,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.0020871639251708986,0.0006433480930297291,manhattan,4,distance,18,3204,0,0,0,801,0,5,0.9911623212754634,0.0015525582577756757,44,1.0,0.0,1,0.9911623212754634,1.0
0.002313113212585449,0.0005279295921364532,manhattan,5,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.00196378231048584,0.0004869389646705413,manhattan,5,distance,18,3204,0,0,0,801,0,5,0.9914733655265898,0.0015851852198126733,39,1.0,0.0,1,0.9914733655265898,1.0
0.002002406120300293,0.0005003279528074723,manhattan,6,uniform,0,3204,0,18,0,801,0,5,0.9916288865219242,0.0018576051063383544,1,0.9916279478386612,0.00020622048763852178,37,0.9916288865219242,0.9916279478386612
0.002105379104614258,0.0006248008146773675,manhattan,6,distance,18,3204,0,0,0,801,0,5,0.9914733655265898,0.0015851852198126733,39,1.0,0.0,1,0.9914733655265898,1.0
