mean_fit_time,std_fit_time,param_metric,param_n_neighbors,param_weights,train_TP,train_TN,train_FP,train_FN,test_TP,test_TN,test_FP,test_FN,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,rank_train_score,mean_test_accuracy,mean_train_accuracy
0.009652066230773925,0.001993469480818952,euclidean,7,distance,24,3199,0,0,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,1.0,0.0,1,0.9888473409529708,1.0
0.009187269210815429,0.0025443055259836496,euclidean,8,uniform,0,3199,0,24,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9888442355290387,0.0002513085659933553,37,0.9888473409529708,0.9888442355290387
0.009069418907165528,0.001241499228815699,euclidean,8,distance,24,3199,0,0,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,1.0,0.0,1,0.9888473409529708,1.0
0.008080530166625976,0.0011939915214545975,euclidean,9,uniform,0,3199,0,24,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9888442355290387,0.0002513085659933553,37,0.9888473409529708,0.9888442355290387
0.00908195972442627,0.0018932878910958722,euclidean,9,distance,24,3199,0,0,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,1.0,0.0,1,0.9888473409529708,1.0
0.008365035057067871,0.0011431717005900156,manhattan,1,uniform,24,3199,0,0,0,792,5,9,0.9867887045461909,0.00416102350847593,52,1.0,0.0,1,0.9867887045461909,1.0
0.007668304443359375,0.0016796146262450509,manhattan,1,distance,24,3199,0,0,0,792,5,9,0.9867887045461909,0.00416102350847593,52,1.0,0.0,1,0.9867887045461909,1.0
0.007010889053344726,0.0009218705790011375,manhattan,2,uniform,2,3199,0,22,0,797,0,9,0.9883817477009649,0.0025982990924303894,40,0.9901273623514101,0.0007781327024385502,33,0.9883817477009649,0.9901273623514101
0.008315563201904297,0.0034662342199971623,manhattan,2,distance,24,3199,0,0,0,792,5,9,0.9867887045461909,0.00416102350847593,52,1.0,0.0,1,0.9867887045461909,1.0
0.007002639770507813,0.0006187444532106155,manhattan,3,uniform,2,3197,2,22,0,797,0,9,0.9883817477009649,0.0025982990924303894,40,0.9898358553195983,0.0008276873266440503,36,0.9883817477009649,0.9898358553195983
0.007224726676940918,0.001272574522028519,manhattan,3,distance,24,3199,0,0,0,797,0,9,0.9882262274614636,0.002499994748933262,45,1.0,0.0,1,0.9882262274614636,1.0
0.006804418563842773,0.0010752342582599466,manhattan,4,uniform,0,3199,0,24,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9888442355290387,0.0002513085659933553,37,0.9888473409529708,0.9888442355290387
0.006943988800048828,0.0007677014777116638,manhattan,4,distance,24,3199,0,0,0,797,0,9,0.9883817477009649,0.0025982990924303894,40,1.0,0.0,1,0.9883817477009649,1.0
0.0072735071182250975,0.001054552909576561,manhattan,5,uniform,0,3199,0,24,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,0.9888442355290387,0.0002513085659933553,37,0.9888473409529708,0.9888442355290387
0.00703125,0.0008493924458109108,manhattan,5,distance,24,3199,0,0,0,797,0,9,0.9888473409529708,0.0022603754126569436,1,1.0,0.0,1,0.9888473409529708,1.0
