mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_final_estimator,param_final_estimator__C,param_final_estimator__kernel,param_passthrough,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
260.9405243396759,2.5659804107268243,3.928331995010376,0.145395103946494,"SVC(C=20, probability=True)",40,linear,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 40, 'final_estimator__kernel': 'linear', 'passthrough': True}",0.7962413452027696,0.8031651829871415,0.7952522255192879,0.7871287128712872,0.7772277227722773,0.7918030378705527,0.008888002401829041,16,0.8385579937304075,0.8444096950742768,0.8396591789310612,0.8305752561071711,0.8262548262548262,0.8358913900195486,0.006557334376159009,15
199.21846117973328,4.2251573835219185,4.348587703704834,0.3954793019651933,"SVC(C=20, probability=True)",40,linear,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 40, 'final_estimator__kernel': 'linear', 'passthrough': False}",0.7932739861523245,0.8041543026706232,0.80811078140455,0.800990099009901,0.7841584158415842,0.7981375170157966,0.00851908608145268,6,0.8386100386100387,0.846986089644513,0.8482003129890454,0.8443067389620449,0.8333333333333334,0.842287302707795,0.005564463152025871,8
219.5028741836548,2.9832321107702695,4.968150615692139,0.37742534063828365,"SVC(C=20, probability=True)",40,rbf,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 40, 'final_estimator__kernel': 'rbf', 'passthrough': True}",0.7626112759643917,0.7823936696340257,0.7823936696340257,0.7792079207920792,0.7732673267326733,0.7759747725514392,0.007466873923580216,20,0.8045602605863192,0.8253968253968254,0.8251192368839428,0.8225934765314241,0.8178202068416867,0.8190980012480397,0.00776050866618283,20
212.69007997512819,3.2127393088711265,4.718601131439209,0.632647906397179,"SVC(C=20, probability=True)",40,rbf,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 40, 'final_estimator__kernel': 'rbf', 'passthrough': False}",0.7992087042532147,0.8071216617210683,0.7992087042532147,0.802970297029703,0.800990099009901,0.8018998932534205,0.0029572065267478072,2,0.8427575522850504,0.8512585812356981,0.8417770849571317,0.8475095785440613,0.847611827141774,0.8461829248327432,0.0034844988706951895,3
257.96456799507143,1.733319651277349,3.8516175746917725,0.47972730672287,"SVC(C=20, probability=True)",40,poly,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 40, 'final_estimator__kernel': 'poly', 'passthrough': True}",0.7101879327398615,0.7467853610286844,0.7359050445103857,0.7326732673267327,0.7257425742574257,0.7302588359726181,0.012116707114585816,24,0.7572493786246894,0.7928802588996765,0.7791563275434243,0.7808441558441559,0.7666385846672285,0.7753537411158349,0.012292314966596397,24
880.8943684101105,717.1879285123789,4.005508804321289,0.42780542620678746,"SVC(C=20, probability=True)",40,poly,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 40, 'final_estimator__kernel': 'poly', 'passthrough': False}",0.8001978239366964,0.8011869436201781,0.8001978239366964,0.7851485148514852,0.7930693069306931,0.79596008265515,0.006139764825280028,12,0.8401898734177216,0.8438228438228438,0.8419405320813772,0.8287292817679558,0.8360784313725491,0.8381521924924895,0.005361933953516136,11
1753.3570198059083,5.950405436906666,4.4818528175354,0.5760324651116521,"SVC(C=20, probability=True)",60,linear,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 60, 'final_estimator__kernel': 'linear', 'passthrough': True}",0.7952522255192879,0.798219584569733,0.7932739861523245,0.7871287128712872,0.7782178217821782,0.7904184661789622,0.00710006862427981,17,0.8376470588235294,0.8398744113029827,0.8378588052754073,0.8303078137332282,0.8274268104776579,0.8346229799225611,0.0048497147210532264,17
500.4542694568634,582.19688884408,4.001015567779541,0.45806183258904887,"SVC(C=20, probability=True)",60,linear,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 60, 'final_estimator__kernel': 'linear', 'passthrough': False}",0.7932739861523245,0.8041543026706232,0.80811078140455,0.800990099009901,0.7841584158415842,0.7981375170157966,0.00851908608145268,6,0.8386100386100387,0.8472222222222221,0.8482003129890454,0.8443067389620449,0.8333333333333334,0.8423345292233367,0.00560499654004565,7
223.52871670722962,5.435856074634216,4.893984985351563,0.24535651382309262,"SVC(C=20, probability=True)",60,rbf,True,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 60, 'final_estimator__kernel': 'rbf', 'passthrough': True}",0.7636003956478734,0.7695351137487636,0.7764589515331355,0.7663366336633664,0.7772277227722773,0.7706317634730832,0.00541393967379402,21,0.8052159739201303,0.8131515637530071,0.817741935483871,0.8102893890675241,0.8195669607056937,0.8131931645860451,0.005164993852220616,21
205.81662192344666,2.1904111667623836,4.372380065917969,0.18872270446114336,"SVC(C=20, probability=True)",60,rbf,False,"{'final_estimator': SVC(C=20, probability=True), 'final_estimator__C': 60, 'final_estimator__kernel': 'rbf', 'passthrough': False}",0.798219584569733,0.8090999010880316,0.7962413452027696,0.8,0.800990099009901,0.8009101859740871,0.0044032639783078845,4,0.8416149068322982,0.852559205500382,0.839563862928349,0.845565749235474,0.8480725623582767,0.8454752573709559,0.004621328675013361,4
